,pipeline_id,length_km,diameter_mm,age_years,material,location,repair_type,repair_duration_hours,pressure,temperature,flow_rate,corrosion_level,deformation_level,leak_detection,pipeline_status
31,PL-12977,8.160192,410.822801,26,PVC,Rural,Preventive,34,2.979463,42.977753,522.122942,High,Severe,0,1
32,PL-41879,9.816517,102.906305,42,Cast Iron,Urban,Routine,34,7.791284,42.273605,445.617426,High,None,0,0
33,PL-63740,7.404091,239.185365,20,Cast Iron,Urban,Routine,70,7.100352,6.221648,342.094788,Low,Severe,1,1
34,PL-76849,0.770046,1007.464287,10,Cast Iron,Rural,Corrective,23,1.6889,31.311365,851.665381,High,Moderate,0,0
35,PL-63492,2.923374,111.3313,36,PVC,Suburban,Routine,14,1.532902,5.905547,626.259793,Medium,Minor,0,1
36,PL-66775,3.11487,793.209499,4,Cast Iron,Urban,Routine,1,4.45979,40.731729,942.977019,High,Minor,1,0
37,PL-91193,5.126486,1078.595963,3,Cast Iron,Rural,Routine,10,1.860179,31.691429,550.151205,Low,Moderate,1,0
38,PL-38278,3.263941,226.554654,18,Polyethylene,Rural,Routine,30,2.021412,20.072372,517.817278,Medium,None,1,0
39,PL-72534,9.608029,310.582695,18,Cast Iron,Suburban,Corrective,17,7.882404,48.819657,582.557502,Low,Severe,0,0
40,PL-46253,0.376879,765.963193,34,Steel,Rural,Routine,62,1.560891,41.299781,732.856864,High,None,1,1
41,PL-90512,0.718167,489.723908,9,PVC,Suburban,Preventive,30,9.163722,38.046226,421.458834,Low,None,1,1
42,PL-98495,9.584472,468.074664,32,Steel,Suburban,Preventive,56,6.659499,37.377284,455.996624,Low,Minor,0,0
43,PL-61202,5.30903,642.017643,35,Polyethylene,Rural,Routine,13,8.486004,36.696073,689.2539,Medium,Minor,0,1
44,PL-58860,8.507685,364.140636,46,PVC,Urban,Corrective,61,2.224044,32.803546,435.605731,Critical,Minor,0,0
45,PL-37960,9.815221,175.019108,44,Cast Iron,Rural,Preventive,35,9.610168,20.93326,520.272864,High,Minor,0,0
46,PL-62808,2.856673,106.407844,2,Polyethylene,Rural,Corrective,72,3.254389,11.792618,431.58608,Critical,Moderate,0,1
47,PL-58478,2.771135,326.461825,31,PVC,Suburban,Corrective,13,3.277194,12.518105,580.236105,Medium,Severe,1,0
48,PL-35220,5.816106,1042.134214,25,Cast Iron,Suburban,Corrective,36,2.437071,26.538975,796.137898,Low,Minor,1,0
49,PL-56306,3.920236,252.56139,44,Cast Iron,Suburban,Corrective,22,1.911855,18.530876,168.66812,Medium,Moderate,0,0
50,PL-49398,0.715109,330.829885,43,PVC,Urban,Routine,7,3.162774,17.42655,717.935466,Critical,None,0,0
51,PL-25190,5.812676,819.208344,37,Steel,Suburban,Preventive,68,9.551579,41.72249,819.563557,High,Severe,0,1
52,PL-33895,7.64803,1088.417457,43,PVC,Rural,Routine,28,4.495496,33.417054,393.030515,High,None,1,0
53,PL-83720,3.507852,1043.205455,17,Polyethylene,Rural,Preventive,32,9.699518,38.793275,628.997023,Low,Minor,1,0
54,PL-31468,8.94067,903.56402,30,Cast Iron,Suburban,Preventive,29,1.738858,8.113599,849.338048,Low,Severe,1,0
55,PL-83796,2.301857,520.341444,24,Steel,Urban,Preventive,44,6.417525,49.641759,626.944045,Medium,None,0,0
56,PL-34797,6.177179,1189.155044,42,Polyethylene,Urban,Corrective,40,3.308716,47.34267,622.885291,High,Moderate,0,1
57,PL-80744,8.628714,836.823973,44,PVC,Urban,Preventive,21,2.411734,21.022523,656.972931,Low,Moderate,0,1
58,PL-79056,2.487727,810.517097,7,Steel,Rural,Preventive,14,2.264953,43.609778,761.877903,Low,Severe,0,1
59,PL-99089,1.723,771.135164,26,PVC,Rural,Routine,49,9.219126,13.090486,940.81146,High,Severe,0,0
60,PL-25911,1.559751,463.153228,35,Polyethylene,Suburban,Routine,31,2.141157,10.449734,649.889265,Critical,None,0,1
61,PL-70532,4.078709,874.788144,43,Cast Iron,Urban,Corrective,27,4.905645,23.372796,320.917534,High,Severe,1,1
62,PL-11600,2.852765,209.146229,24,Steel,Rural,Corrective,47,3.33161,8.38821,383.762793,Critical,Moderate,1,0
63,PL-75846,1.614968,979.148035,31,Polyethylene,Suburban,Routine,46,6.905448,15.191076,136.25802,Critical,Severe,0,0
64,PL-81875,8.681341,437.140819,23,Cast Iron,Urban,Routine,41,8.476718,44.940776,810.768892,High,None,1,0
65,PL-32154,4.194047,1092.009562,28,Cast Iron,Urban,Preventive,52,8.746776,41.192724,725.97379,Low,Minor,1,1
66,PL-59461,8.199388,500.083001,17,Cast Iron,Suburban,Routine,59,8.287804,11.21482,429.539121,Critical,None,1,1
67,PL-30312,9.491976,337.94026,2,Polyethylene,Urban,Preventive,44,6.099591,27.636286,719.388733,Medium,Severe,1,1
68,PL-97155,3.721966,1146.81902,32,Cast Iron,Urban,Corrective,46,5.941967,10.88044,88.632667,High,Moderate,1,1
69,PL-26889,9.892505,222.548905,33,Cast Iron,Suburban,Preventive,60,5.308263,44.899588,362.589885,Critical,Moderate,1,0
70,PL-47814,5.622123,343.802792,3,Polyethylene,Suburban,Corrective,50,5.388085,23.924545,820.418959,Medium,Moderate,1,0
71,PL-44283,3.126064,611.541275,17,Cast Iron,Suburban,Routine,11,2.696636,36.865673,382.913127,High,Moderate,1,1
72,PL-83051,8.104191,254.005181,43,Cast Iron,Suburban,Corrective,28,3.850569,32.692736,344.514603,Critical,Severe,0,1
73,PL-77547,3.203086,1064.931969,14,PVC,Suburban,Routine,6,9.269727,12.120908,14.881682,Low,Minor,0,1
74,PL-84435,9.091986,579.095026,2,Polyethylene,Rural,Routine,17,4.352927,46.75985,482.840825,Low,None,0,0
75,PL-20618,3.989709,954.407661,28,PVC,Rural,Routine,25,1.112991,21.921192,482.031859,Medium,None,0,0
76,PL-18287,4.04109,1148.004168,5,Steel,Urban,Corrective,64,9.711204,48.224054,445.217187,High,Severe,1,1
77,PL-86896,8.143587,1046.957885,48,Polyethylene,Urban,Preventive,27,5.881487,23.124801,797.31693,Low,Moderate,1,1
78,PL-23975,2.032344,1027.062465,12,Polyethylene,Suburban,Preventive,27,9.296072,13.357709,615.845765,Low,Severe,0,1
79,PL-40707,8.644858,143.621303,23,Steel,Suburban,Routine,13,7.880216,46.789605,559.994025,Critical,Minor,0,0
80,PL-61544,5.231459,557.136969,1,Steel,Rural,Corrective,59,3.672267,27.40066,904.904038,Critical,Minor,1,1
81,PL-73758,4.080394,156.977455,9,Cast Iron,Urban,Routine,8,9.018099,18.522598,126.439509,High,None,1,1
82,PL-30478,2.108257,759.49319,50,Steel,Rural,Preventive,27,5.241303,15.586363,473.505942,Medium,Severe,0,1
83,PL-71338,4.496954,514.55333,18,Steel,Suburban,Routine,49,8.825076,8.948275,836.552457,Critical,Severe,1,0
84,PL-21250,9.787873,984.634361,47,Steel,Rural,Routine,72,3.824064,37.998611,471.281419,High,Severe,0,1
85,PL-87907,4.920407,715.60317,42,Polyethylene,Urban,Preventive,44,4.611282,5.249535,817.411478,Critical,Moderate,0,0
86,PL-24099,3.215943,251.94737,6,Polyethylene,Urban,Corrective,26,4.422134,24.035986,767.133227,Medium,None,1,0
87,PL-41221,1.97325,856.296167,43,PVC,Rural,Preventive,27,4.581425,44.592847,254.399371,Medium,None,0,0
88,PL-95665,0.65999,1003.093839,26,Polyethylene,Suburban,Corrective,69,1.381297,46.928112,206.073218,Critical,Severe,1,1
89,PL-81052,1.32433,985.852113,6,Cast Iron,Rural,Preventive,1,3.535829,42.83434,142.653987,High,None,1,1
90,PL-69903,5.012767,1084.370554,40,Polyethylene,Urban,Preventive,64,9.686559,49.365329,956.566239,Critical,Minor,1,1
91,PL-26473,1.188569,1155.427101,38,Cast Iron,Rural,Corrective,56,1.600782,12.347383,317.497895,High,Minor,1,0
92,PL-33627,3.773152,1042.256295,40,Polyethylene,Suburban,Routine,10,2.00173,30.027119,601.228097,High,Minor,0,0
93,PL-25960,8.580814,1036.112434,45,Cast Iron,Urban,Preventive,60,9.049797,12.066555,227.205778,Critical,Severe,0,0
94,PL-10495,8.151037,863.198351,23,Steel,Suburban,Preventive,8,3.7481,37.296334,189.455063,High,Severe,0,1
95,PL-35441,8.993801,898.612954,17,Cast Iron,Suburban,Routine,72,3.258159,18.742743,13.22942,Critical,None,1,0
96,PL-57290,0.872623,326.021804,40,PVC,Rural,Routine,33,2.717638,11.39596,169.907241,High,None,0,1
97,PL-80016,0.255242,331.809271,13,PVC,Urban,Preventive,16,2.530458,21.66708,598.966755,Medium,Moderate,1,0
98,PL-20262,4.317782,842.108213,49,Steel,Urban,Preventive,54,7.575732,6.769078,727.90021,Medium,Severe,0,0
99,PL-61892,6.856321,989.983472,27,Cast Iron,Suburban,Preventive,51,1.601184,22.305134,305.807692,Medium,None,0,0
100,PL-70933,9.725744,691.681577,12,Cast Iron,Urban,Preventive,19,2.456561,48.315736,864.831924,Critical,Moderate,1,0
101,PL-70637,2.847143,990.006753,13,Polyethylene,Urban,Corrective,68,3.319974,25.19204,636.374749,High,Minor,0,0
102,PL-53077,1.878532,483.637069,44,Steel,Rural,Routine,9,6.340141,10.798731,858.720941,High,Moderate,0,0
103,PL-23787,4.836999,359.294018,8,PVC,Urban,Preventive,68,1.21105,38.617,599.578704,Medium,None,1,1
104,PL-48257,4.261625,468.987023,3,Steel,Suburban,Corrective,62,2.129068,11.334665,815.747788,Medium,Severe,1,1
105,PL-44302,7.951325,597.391076,47,Polyethylene,Rural,Preventive,66,9.173012,42.673112,876.946727,Medium,Minor,1,1
106,PL-72728,6.570309,1041.394261,27,PVC,Rural,Preventive,10,7.544371,31.756,863.751415,Low,Moderate,0,0
107,PL-75908,2.056381,459.138521,50,Cast Iron,Suburban,Corrective,14,7.988525,7.370546,507.791838,Low,Severe,0,1
108,PL-52475,6.178704,1174.038558,7,PVC,Rural,Preventive,33,6.68264,17.041335,816.576846,Low,Moderate,1,0
109,PL-70315,1.402644,991.583626,30,Cast Iron,Suburban,Routine,70,2.971881,18.564353,67.316354,Medium,Minor,0,0
110,PL-66683,4.899424,205.444255,13,Polyethylene,Rural,Corrective,40,7.68858,34.466216,371.185381,High,Severe,1,0
111,PL-65580,9.79062,246.284743,32,Cast Iron,Rural,Routine,8,5.343274,34.026488,66.308285,Critical,Minor,0,0
112,PL-74336,8.815947,289.321485,40,PVC,Urban,Routine,6,2.434866,24.337727,753.6505,Medium,Severe,1,1
113,PL-50606,5.997993,726.380166,15,Cast Iron,Rural,Preventive,68,2.095872,6.160793,490.595397,Medium,Minor,1,0
114,PL-80786,1.625534,601.25424,44,Polyethylene,Rural,Routine,2,2.725199,39.429215,478.683343,High,Severe,0,0
115,PL-75203,2.162829,667.540218,37,Steel,Urban,Preventive,57,9.605954,29.20363,113.291816,Low,Severe,1,0
116,PL-52143,8.210721,970.608333,10,Cast Iron,Rural,Corrective,61,1.965758,28.612378,777.66326,High,Minor,0,0
117,PL-36036,1.398031,890.676527,17,Cast Iron,Suburban,Routine,40,6.242746,36.27444,872.038676,High,Moderate,0,0
118,PL-47911,8.035187,192.159385,18,Cast Iron,Urban,Corrective,26,5.976787,5.311712,624.904511,Critical,None,1,1
119,PL-12549,5.021579,672.282488,16,Steel,Suburban,Routine,9,9.989815,14.782403,568.168645,Low,None,1,1
120,PL-16912,7.886449,419.895935,31,Steel,Urban,Preventive,6,3.617683,18.722927,585.215425,Low,Severe,1,1
121,PL-35889,7.761375,382.349372,19,PVC,Suburban,Routine,8,4.298047,30.158255,132.550903,Low,Moderate,1,0
122,PL-27677,4.813187,376.363988,44,PVC,Suburban,Routine,41,9.903845,30.130412,719.667335,Critical,Moderate,1,0
123,PL-61601,9.565536,528.981464,45,PVC,Urban,Preventive,13,3.854224,48.19985,358.808227,Medium,Moderate,1,0
124,PL-36581,2.35391,279.424231,48,Cast Iron,Urban,Routine,52,9.488033,37.667529,396.664148,Critical,Severe,0,1
125,PL-98448,3.436448,463.065773,12,Cast Iron,Urban,Routine,13,8.774147,23.198804,604.5964,High,None,0,0
126,PL-41896,5.958271,1145.74427,35,PVC,Urban,Routine,60,9.689568,22.131115,715.690509,Medium,None,1,1
127,PL-74499,5.724072,282.059762,27,Polyethylene,Urban,Preventive,2,4.228562,14.058095,258.394553,High,None,0,1
128,PL-68327,3.300536,1071.084785,28,Steel,Urban,Preventive,18,7.674099,41.58182,391.006249,High,Minor,0,0
129,PL-19444,0.980998,955.234378,36,PVC,Suburban,Preventive,41,6.049605,24.429071,854.198379,Critical,Minor,0,0
130,PL-73963,8.16348,904.348527,12,Cast Iron,Suburban,Corrective,33,2.252769,32.396607,883.731453,Low,Minor,1,0
131,PL-24793,0.448563,138.924309,5,Cast Iron,Urban,Routine,69,5.714854,7.184962,82.60099,Critical,Minor,1,1
132,PL-19372,5.420156,143.414487,21,Polyethylene,Rural,Routine,41,8.388087,35.750007,170.094693,Medium,None,0,1
133,PL-86408,3.987919,363.383166,7,Polyethylene,Urban,Routine,46,6.738175,35.782419,936.579134,Medium,Minor,1,0
134,PL-45081,3.827534,568.660739,5,Polyethylene,Rural,Corrective,9,6.197389,9.444667,64.251491,Critical,Moderate,1,0
135,PL-83909,7.352872,511.540292,40,Cast Iron,Suburban,Corrective,1,1.027594,35.729328,759.468878,Medium,Severe,1,1
136,PL-80522,6.772673,941.216302,33,Polyethylene,Urban,Preventive,60,9.046988,26.503797,508.345028,High,Severe,0,0
137,PL-73921,0.876733,372.931981,47,PVC,Urban,Preventive,56,3.023672,10.410668,868.38804,High,Moderate,0,1
138,PL-75978,2.850856,136.600173,15,Polyethylene,Suburban,Preventive,60,3.425241,21.275664,462.105123,Medium,None,0,0
139,PL-29136,1.27633,987.981083,21,Cast Iron,Rural,Preventive,42,7.843096,41.860109,898.245567,High,None,1,1
140,PL-13674,0.396864,666.585871,5,Cast Iron,Suburban,Routine,35,6.060992,36.643686,21.293912,High,None,1,0
141,PL-10741,8.526797,718.694686,3,PVC,Rural,Routine,10,8.204243,37.750754,596.298116,Medium,None,1,1
142,PL-24028,8.037013,1170.664546,38,PVC,Urban,Preventive,12,8.098677,36.360351,322.000828,Medium,None,0,0
143,PL-28801,3.110044,166.34405,9,PVC,Suburban,Preventive,1,5.430219,18.696818,846.488889,Critical,Severe,1,0
144,PL-77837,0.713261,907.481387,42,Cast Iron,Urban,Corrective,53,3.181977,37.631174,257.462018,Medium,None,1,0
145,PL-83691,1.938399,1055.844261,34,PVC,Rural,Routine,24,2.243753,33.510211,791.872023,Low,Moderate,0,0
146,PL-53520,7.507072,107.331436,6,Steel,Rural,Corrective,51,3.207413,30.775073,708.863753,Medium,Moderate,1,1
147,PL-55296,2.949576,1117.656537,47,Cast Iron,Urban,Routine,49,8.521324,23.157352,641.42774,High,Severe,1,1
148,PL-93008,3.727602,869.982696,27,PVC,Suburban,Routine,30,6.007719,8.042205,288.734267,High,None,0,1
149,PL-79203,0.444477,1190.503226,12,Steel,Rural,Routine,53,9.453675,24.531939,289.269566,Critical,None,1,0
150,PL-59089,2.488747,337.296951,4,Polyethylene,Urban,Preventive,47,1.908633,7.780318,995.465231,Medium,None,1,0
151,PL-44682,1.670678,1127.889719,9,Polyethylene,Suburban,Routine,71,5.702349,37.205118,431.562002,High,None,0,1
152,PL-24252,8.346481,424.883139,49,PVC,Rural,Preventive,72,9.187739,20.667893,655.143109,Critical,None,0,0
153,PL-28631,9.662657,251.210659,18,PVC,Rural,Routine,72,4.176618,29.222153,877.02158,Critical,None,1,1
154,PL-33176,8.86135,983.15803,50,Cast Iron,Suburban,Routine,28,2.58147,25.845929,989.930635,High,Severe,1,0
155,PL-31738,0.45483,283.749162,21,Polyethylene,Suburban,Corrective,32,9.064791,11.689017,307.598425,Medium,Moderate,0,0
156,PL-56235,4.560594,795.334926,24,Cast Iron,Rural,Corrective,2,3.368195,47.029864,141.921375,High,Moderate,0,0
157,PL-50665,8.501647,745.035214,2,Steel,Urban,Corrective,46,9.985236,13.443784,97.415477,Low,Severe,0,0
158,PL-73495,7.517487,342.798704,33,PVC,Suburban,Routine,51,8.324906,39.338552,265.415802,Critical,None,1,1
159,PL-97000,5.59468,858.01348,1,PVC,Rural,Routine,65,5.176819,36.773881,381.259886,Low,Minor,1,0
160,PL-60818,2.328014,542.912754,19,Cast Iron,Suburban,Corrective,27,9.313358,27.558504,204.99745,Low,Moderate,1,0
161,PL-32784,4.008743,1029.222419,1,Polyethylene,Suburban,Preventive,64,7.165751,24.095174,484.519285,High,Severe,0,0
162,PL-30333,0.405394,1029.422369,6,PVC,Rural,Routine,42,4.191206,9.518854,603.620917,High,Moderate,0,0
163,PL-58651,0.871405,1148.773899,21,Steel,Rural,Preventive,5,4.025911,34.270779,670.776385,Medium,Moderate,0,1
164,PL-77096,2.212204,323.205667,6,Polyethylene,Urban,Corrective,19,7.229355,28.487427,47.970357,Critical,Severe,1,1
165,PL-77746,7.777732,1024.096731,14,PVC,Rural,Routine,47,9.973589,47.880807,448.125215,Medium,Minor,0,0
166,PL-97396,4.290855,1044.639834,41,PVC,Suburban,Corrective,9,1.800902,21.057901,208.938928,High,Severe,1,1
167,PL-54867,0.309416,303.688133,15,Cast Iron,Rural,Corrective,37,8.386296,40.047137,995.069584,High,Minor,0,0
168,PL-95023,3.344021,1105.209386,39,Cast Iron,Rural,Corrective,29,4.264965,13.085517,839.837158,High,Minor,0,1
169,PL-96782,5.343239,670.921219,24,Cast Iron,Suburban,Preventive,60,8.062915,20.248968,809.516112,Medium,None,0,1
170,PL-25790,7.914983,1031.039133,39,Polyethylene,Rural,Corrective,8,1.75662,8.449126,810.271057,Medium,Moderate,0,0
171,PL-13101,5.022702,1196.141129,23,Steel,Suburban,Corrective,58,6.874177,5.01081,967.547439,Critical,Minor,1,0
172,PL-94979,4.573663,227.770287,47,Cast Iron,Rural,Preventive,27,4.384922,32.792528,691.194765,Low,Minor,0,0
173,PL-28282,6.568498,463.699253,39,Cast Iron,Suburban,Preventive,39,6.539743,18.835483,758.874574,High,Severe,1,0
174,PL-94493,9.079575,1103.032738,26,PVC,Urban,Preventive,40,3.237461,31.204944,163.168255,Critical,None,0,0
175,PL-24481,1.68842,1194.459741,14,Cast Iron,Urban,Routine,32,1.717152,15.048461,962.778473,Low,Severe,1,0
176,PL-59502,1.75609,1059.658907,27,Steel,Rural,Preventive,64,9.599714,43.471008,639.898551,Low,Severe,1,1
177,PL-29772,4.79723,691.837445,33,Polyethylene,Suburban,Routine,45,3.310624,41.934539,365.044396,Low,Moderate,1,0
178,PL-89547,9.034301,966.578821,21,Steel,Urban,Preventive,49,7.152238,48.357412,879.33255,High,Moderate,1,1
179,PL-83612,2.150148,209.648203,48,PVC,Rural,Routine,56,5.114525,39.983391,711.000556,High,Minor,1,1
180,PL-91910,7.290963,260.918013,9,Steel,Rural,Preventive,61,9.108784,32.19942,472.151336,Low,None,0,1
181,PL-20549,7.870401,644.442559,15,Polyethylene,Urban,Corrective,57,8.957617,48.991113,841.092773,Critical,Minor,1,0
182,PL-93329,7.127036,1141.377314,12,Cast Iron,Urban,Corrective,64,8.186225,20.279072,391.950236,Medium,Severe,0,0
183,PL-75796,4.197897,803.717671,20,Steel,Suburban,Preventive,35,2.094004,35.946836,795.197275,Critical,None,0,0
184,PL-77899,3.499516,1149.709612,18,Steel,Urban,Corrective,52,2.12874,42.992611,543.96554,Low,None,1,1
185,PL-90227,5.302148,221.304438,50,Polyethylene,Urban,Preventive,54,8.312003,43.250376,770.961413,Medium,Severe,1,0
186,PL-92954,3.854138,837.058751,32,Cast Iron,Suburban,Routine,51,3.201205,42.969371,964.406727,Low,Moderate,0,1
187,PL-47596,0.179384,631.400116,49,Cast Iron,Urban,Corrective,10,3.467808,34.87275,50.228258,Critical,None,1,0
188,PL-79337,5.09864,930.299685,48,Steel,Urban,Preventive,55,6.576188,48.169732,452.532428,Critical,Minor,1,1
189,PL-67185,4.749439,519.911819,17,Cast Iron,Urban,Preventive,5,8.520181,45.451167,756.898339,Medium,Severe,1,0
190,PL-41869,3.020711,1103.390393,24,Cast Iron,Suburban,Corrective,3,9.807238,24.599459,46.162341,High,Minor,0,1
191,PL-90797,2.335062,744.629855,28,PVC,Urban,Preventive,70,9.279057,19.735271,478.823714,High,None,1,1
192,PL-47065,1.193994,334.923262,15,Steel,Suburban,Routine,55,4.195953,6.693667,667.35914,Critical,Severe,1,1
193,PL-17715,7.342969,425.768672,14,Cast Iron,Suburban,Routine,49,4.543842,43.82001,439.762746,High,Moderate,0,0
194,PL-97798,7.207943,725.107985,17,PVC,Suburban,Preventive,31,6.857239,5.952474,230.10598,High,None,0,1
195,PL-71689,3.610455,122.559995,16,Steel,Rural,Corrective,59,6.503758,47.845906,470.077106,High,None,1,1
196,PL-17827,0.870468,481.992673,46,PVC,Suburban,Preventive,62,1.352925,43.82761,219.650294,Critical,Severe,0,1
197,PL-41966,6.006968,358.122837,38,PVC,Rural,Corrective,43,9.748259,31.373336,303.738302,Low,Severe,0,1
198,PL-92040,3.988147,1048.222471,43,Steel,Urban,Preventive,1,6.504301,48.753797,135.042228,High,Minor,0,1
199,PL-38630,4.483403,743.715854,7,Polyethylene,Rural,Preventive,50,6.555187,16.017571,397.878999,High,Severe,0,0
200,PL-73665,2.425766,689.641931,24,PVC,Rural,Corrective,8,9.223687,29.713168,220.231867,Critical,None,1,0
201,PL-68483,5.333055,365.545798,2,Cast Iron,Rural,Corrective,20,6.998567,10.142551,947.567098,High,None,0,0
202,PL-40771,3.3918,1156.071761,10,Polyethylene,Suburban,Corrective,68,5.880232,26.007529,316.953887,Low,Moderate,1,0
203,PL-60553,5.16906,796.32034,23,Cast Iron,Suburban,Corrective,7,5.343066,25.301174,733.02521,High,Minor,0,1
204,PL-57416,2.214199,535.173735,40,Polyethylene,Rural,Preventive,26,8.503037,9.450159,407.342305,Critical,Severe,0,1
205,PL-12017,8.405002,813.583206,28,PVC,Suburban,Corrective,69,8.118285,18.16452,496.82635,Critical,Minor,0,1
206,PL-76474,8.963442,928.000026,50,Polyethylene,Urban,Preventive,4,8.408757,46.926104,142.63879,Low,Minor,0,1
207,PL-34349,2.862744,761.595555,20,Polyethylene,Suburban,Routine,47,3.531087,46.917023,244.475524,Critical,Moderate,1,1
208,PL-40330,8.780095,138.625868,33,PVC,Suburban,Corrective,55,5.561569,13.863114,883.979648,Critical,None,1,0
209,PL-23410,0.7539,1116.128318,2,PVC,Rural,Routine,70,8.254177,19.649561,829.422871,Medium,Minor,0,1
210,PL-11890,7.655398,612.560017,16,Polyethylene,Rural,Corrective,19,6.938867,13.828948,364.972441,Medium,Minor,1,1
211,PL-16672,2.990358,180.031146,2,PVC,Rural,Preventive,61,3.267554,41.64336,680.563719,Medium,Minor,0,1
212,PL-40716,2.089325,208.078278,44,Cast Iron,Urban,Routine,32,4.970912,31.025722,137.580178,Critical,None,1,0
213,PL-96186,9.350393,1081.842663,34,Steel,Suburban,Corrective,53,8.395386,39.96287,787.385911,Medium,Severe,0,1
214,PL-63774,0.827957,977.190943,20,Polyethylene,Urban,Corrective,29,9.493163,24.931725,718.84281,Medium,None,0,1
215,PL-88688,7.945579,1009.751795,5,Polyethylene,Suburban,Routine,59,3.185772,31.560366,155.072652,Critical,Minor,0,0
216,PL-14252,8.951432,258.775024,9,Steel,Suburban,Corrective,70,1.121986,30.60655,952.639481,Low,Severe,0,0
217,PL-45559,1.002769,997.606108,40,Cast Iron,Urban,Preventive,16,8.926319,34.027569,13.561974,Critical,Severe,1,0
218,PL-85325,7.718881,710.666976,32,Polyethylene,Urban,Preventive,23,2.500737,48.89602,663.702908,Medium,Moderate,0,1
219,PL-93139,3.508793,1053.716609,28,PVC,Urban,Routine,16,1.485378,48.32668,969.334551,Low,Severe,0,0
